image,true_labels,predicted_labels,cus_score,cus_omission,cus_hallucination,missed_conditions,hallucinated_conditions,hallucination_count
synthetic_000.png,Hernia,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Emphysema|Pleural_Thickening|No Finding,0.189,0.0,0.189,none,Cardiomegaly|Nodule,2
synthetic_001.png,Pneumonia,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Emphysema|Pleural_Thickening|No Finding,0.189,0.0,0.189,none,Cardiomegaly|Nodule,2
synthetic_002.png,Edema,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Emphysema|Pleural_Thickening|No Finding,0.189,0.0,0.189,none,Cardiomegaly|Nodule,2
synthetic_003.png,Fibrosis,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Emphysema|Pleural_Thickening|No Finding,0.189,0.0,0.189,none,Cardiomegaly|Nodule,2
synthetic_004.png,Fibrosis,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Pleural_Thickening|No Finding,0.189,0.0,0.189,none,Cardiomegaly|Nodule,2
synthetic_005.png,Mass,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Pleural_Thickening|No Finding,0.189,0.0,0.189,none,Cardiomegaly|Nodule,2
synthetic_006.png,Fibrosis,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Consolidation|Edema|Emphysema|Pleural_Thickening|No Finding,0.2805,0.0,0.2805,none,Cardiomegaly|Consolidation|Nodule,3
synthetic_007.png,Nodule,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Emphysema|Pleural_Thickening|No Finding,0.0854,0.0,0.0854,none,Cardiomegaly,1
synthetic_008.png,Mass,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Emphysema|Pleural_Thickening|No Finding,0.189,0.0,0.189,none,Cardiomegaly|Nodule,2
synthetic_009.png,Hernia,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Emphysema|Pleural_Thickening|No Finding,0.189,0.0,0.189,none,Cardiomegaly|Nodule,2
synthetic_010.png,Emphysema,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Emphysema|Pleural_Thickening|No Finding,0.189,0.0,0.189,none,Cardiomegaly|Nodule,2
synthetic_011.png,Emphysema,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Emphysema|Pleural_Thickening|No Finding,0.189,0.0,0.189,none,Cardiomegaly|Nodule,2
synthetic_012.png,Pleural_Thickening,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Pleural_Thickening|No Finding,0.189,0.0,0.189,none,Cardiomegaly|Nodule,2
synthetic_013.png,Infiltration,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Pleural_Thickening|No Finding,0.189,0.0,0.189,none,Cardiomegaly|Nodule,2
synthetic_014.png,Pleural_Thickening,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Emphysema|Pleural_Thickening|No Finding,0.189,0.0,0.189,none,Cardiomegaly|Nodule,2
synthetic_015.png,Edema,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Emphysema|Pleural_Thickening|No Finding,0.189,0.0,0.189,none,Cardiomegaly|Nodule,2
synthetic_016.png,Emphysema,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Emphysema|Pleural_Thickening|No Finding,0.189,0.0,0.189,none,Cardiomegaly|Nodule,2
synthetic_017.png,Effusion,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Emphysema|Pleural_Thickening|No Finding,0.3841,0.1951,0.189,Effusion,Cardiomegaly|Nodule,2
synthetic_018.png,Fibrosis,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Emphysema|Pleural_Thickening|No Finding,0.189,0.0,0.189,none,Cardiomegaly|Nodule,2
synthetic_019.png,Pneumonia,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Pleural_Thickening|No Finding,0.189,0.0,0.189,none,Cardiomegaly|Nodule,2
synthetic_020.png,Mass,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Emphysema|Pleural_Thickening|No Finding,0.189,0.0,0.189,none,Cardiomegaly|Nodule,2
synthetic_021.png,Emphysema,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Emphysema|Pleural_Thickening|No Finding,0.189,0.0,0.189,none,Cardiomegaly|Nodule,2
synthetic_022.png,Pneumonia,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Emphysema|Pleural_Thickening|No Finding,0.189,0.0,0.189,none,Cardiomegaly|Nodule,2
synthetic_023.png,Mass,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Emphysema|Pleural_Thickening|No Finding,0.189,0.0,0.189,none,Cardiomegaly|Nodule,2
synthetic_024.png,Infiltration,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Pleural_Thickening|No Finding,0.189,0.0,0.189,none,Cardiomegaly|Nodule,2
synthetic_025.png,Nodule,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Emphysema|Pleural_Thickening|No Finding,0.0854,0.0,0.0854,none,Cardiomegaly,1
synthetic_026.png,Pneumonia,Cardiomegaly|Infiltration|Mass|Nodule|Pneumonia|Edema|Emphysema|Pleural_Thickening|No Finding,0.189,0.0,0.189,none,Cardiomegaly|Nodule,2
